year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Brand,Car_Type,High_Performance,vehicle_id,model,image_url
2013,7500,Manual,25373,Petrol,0.0,65.7,1.0,Ford,Hatchback,0,11941, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,35980,Semi-Auto,9,Diesel,,,2.0,Mercedes-Benz,Sedan,0,98794, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2015,11990,Manual,50000,Diesel,20.0,67.3,2.0,Volkswagen,Hatchback,0,87429, Golf,/static/car_images/Volkswagen_Golf.jpg
2019,40823,Automatic,4162,Diesel,145.0,34.0,3.0,Volkswagen,SUV,0,96526, Touareg,/static/car_images/Volkswagen_Touareg.jpg
2019,25349,Semi-Auto,9728,Petrol,,,1.5,Mercedes-Benz,Sedan,0,100344, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2018,16870,Manual,13988,Petrol,150.0,55.4,1.0,Volkswagen,Other,0,83599, T-Roc,/static/car_images/Volkswagen_T-Roc.jpg
2014,6595,Manual,22000,Petrol,0.0,66.0,1.0,Toyota,Hatchback,0,65286, Yaris,/static/car_images/Toyota_Yaris.jpg
2019,14898,Semi-Auto,14457,Diesel,145.0,70.6,1.6,Skoda,Sedan,0,56914, Octavia,/static/car_images/Skoda_Octavia.jpg
2018,12791,Manual,8708,Petrol,145.0,44.8,1.6,Hyundai,SUV,0,42364, Tucson,/static/car_images/Hyundai_Tucson.jpg
2016,13995,Semi-Auto,24465,Petrol,30.0,58.9,1.4,Audi,Hatchback,0,30998, A3,/static/car_images/Audi_A3.jpg
2016,9995,Manual,29505,Petrol,20.0,60.1,1.2,Volkswagen,Hatchback,0,92470, Polo,/static/car_images/Volkswagen_Polo.jpg
2017,8310,Manual,37770,Diesel,0.0,76.3,1.6,Vauxhall-Opel,Hatchback,0,73926, Astra,/static/car_images/default.jpg
2016,22750,Automatic,24881,Diesel,145.0,54.3,2.0,BMW,Other,0,27976, X4,/static/car_images/BMW_X4.jpg
2016,17499,Automatic,30128,Diesel,30.0,70.6,2.1,Mercedes-Benz,Coupe,0,56285, SLK,/static/car_images/Mercedes-Benz_SLK.jpg
2017,7890,Manual,41922,Petrol,125.0,52.3,1.4,Vauxhall-Opel,Hatchback,0,74368, Astra,/static/car_images/default.jpg
2019,33995,Semi-Auto,3243,Petrol,145.0,34.5,2.0,Audi,Hatchback,0,29220, A3,/static/car_images/Audi_A3.jpg
2019,33900,Semi-Auto,12139,Diesel,145.0,38.2,2.0,Audi,SUV,0,34177, Q5,/static/car_images/Audi_Q5.jpg
2019,19490,Automatic,6000,Petrol,145.0,46.3,1.0,Volkswagen,Hatchback,0,91720, Polo,/static/car_images/Volkswagen_Polo.jpg
2019,14995,Manual,20,Petrol,150.0,39.2,1.4,Vauxhall-Opel,Other,0,78327, Mokka X,/static/car_images/default.jpg
2019,22199,Automatic,6707,Diesel,145.0,40.4,2.0,Volkswagen,SUV,0,94509, Tiguan,/static/car_images/Volkswagen_Tiguan.jpg
2018,14295,Manual,13880,Petrol,145.0,55.4,1.0,Ford,Hatchback,0,9093, Fiesta,/static/car_images/Ford_Fiesta.jpg
2011,5440,Manual,48000,Petrol,150.0,47.9,1.4,Volkswagen,Hatchback,0,92409, Polo,/static/car_images/Volkswagen_Polo.jpg
2013,5998,Manual,50125,Petrol,125.0,51.4,1.2,Volkswagen,Hatchback,0,90040, Polo,/static/car_images/Volkswagen_Polo.jpg
2019,25750,Semi-Auto,5498,Petrol,150.0,40.9,2.0,Mercedes-Benz,Other,0,49468, CL Class,/static/car_images/Mercedes-Benz_CL_Class.jpg
2016,8998,Manual,12309,Diesel,0.0,74.4,1.5,Ford,Other,0,7578, B-MAX,/static/car_images/Ford_B-MAX.jpg
2018,9995,Manual,20020,Petrol,145.0,47.1,1.5,Toyota,Hatchback,0,64603, Yaris,/static/car_images/Toyota_Yaris.jpg
2018,35995,Automatic,7000,Diesel,145.0,45.6,2.2,Mercedes-Benz,Other,0,43834, V Class,/static/car_images/Mercedes-Benz_V_Class.jpg
2017,17980,Manual,21134,Petrol,145.0,49.6,2.0,Audi,Other,0,37042, A5,/static/car_images/Audi_A5.jpg
2018,19895,Semi-Auto,13909,Diesel,145.0,60.1,2.0,BMW,Sedan,0,24625, 3 Series,/static/car_images/BMW_3_Series.jpg
2019,28495,Semi-Auto,2145,Diesel,145.0,46.3,2.0,Audi,Other,0,29260, Q2,/static/car_images/Audi_Q2.jpg
2017,10298,Manual,14000,Petrol,205.0,42.2,1.6,Vauxhall-Opel,Other,0,78736, Mokka X,/static/car_images/default.jpg
2019,24999,Automatic,1000,Diesel,145.0,64.2,2.1,Mercedes-Benz,Other,0,51208, GLA Class,/static/car_images/Mercedes-Benz_GLA_Class.jpg
2017,17850,Manual,18692,Petrol,145.0,48.7,1.6,Mercedes-Benz,Other,0,43823, GLA Class,/static/car_images/Mercedes-Benz_GLA_Class.jpg
2019,33995,Automatic,1550,Petrol,145.0,35.3,2.0,Mercedes-Benz,Other,0,47239, A Class,/static/car_images/Mercedes-Benz_A_Class.jpg
2016,15991,Semi-Auto,31269,Diesel,30.0,62.8,2.0,Volkswagen,Other,0,96034, Scirocco,/static/car_images/Volkswagen_Scirocco.jpg
2019,25199,Semi-Auto,5856,Diesel,145.0,61.4,2.0,Mercedes-Benz,Sedan,0,50563, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2018,12297,Manual,20655,Petrol,145.0,39.2,1.4,Vauxhall-Opel,Other,0,77667, Mokka X,/static/car_images/default.jpg
2019,26980,Semi-Auto,13675,Diesel,145.0,38.7,2.0,Volkswagen,Other,0,97773, Tiguan Allspace,/static/car_images/Volkswagen_Tiguan_Allspace.jpg
2015,9000,Manual,50267,Diesel,0.0,74.3,1.6,Volkswagen,Hatchback,0,88451, Golf,/static/car_images/Volkswagen_Golf.jpg
2014,7750,Manual,19384,Petrol,30.0,54.3,1.2,Ford,Hatchback,0,16222, Fiesta,/static/car_images/Ford_Fiesta.jpg
2017,22991,Semi-Auto,23730,Petrol,200.0,39.8,3.0,BMW,Other,0,19407, 2 Series,/static/car_images/BMW_2_Series.jpg
2019,14700,Manual,1855,Petrol,145.0,53.3,1.0,Ford,SUV,0,12492, EcoSport,/static/car_images/Ford_EcoSport.jpg
2018,47980,Semi-Auto,5376,Diesel,145.0,37.2,3.0,Mercedes-Benz,Other,0,46836, GLS Class,/static/car_images/Mercedes-Benz_GLS_Class.jpg
2019,29980,Semi-Auto,12500,Diesel,145.0,38.2,2.0,Audi,SUV,0,33883, Q5,/static/car_images/Audi_Q5.jpg
2016,8995,Automatic,28414,Petrol,145.0,47.9,1.4,Vauxhall-Opel,Hatchback,0,71137, Corsa,/static/car_images/default.jpg
2017,6950,Manual,37265,Petrol,145.0,47.1,1.4,Vauxhall-Opel,Other,0,80297, Meriva,/static/car_images/default.jpg
2018,10570,Automatic,7888,Petrol,145.0,39.8,1.4,Vauxhall-Opel,Hatchback,0,70438, Corsa,/static/car_images/default.jpg
2019,28590,Semi-Auto,3500,Petrol,145.0,30.4,2.0,Volkswagen,SUV,0,93081, Tiguan,/static/car_images/Volkswagen_Tiguan.jpg
2019,23495,Automatic,4720,Hybrid,135.0,78.5,1.6,Hyundai,Other,0,41509, Ioniq,/static/car_images/Hyundai_Ioniq.jpg
2016,15850,Automatic,27710,Diesel,30.0,62.8,2.0,BMW,Sedan,0,28104, 5 Series,/static/car_images/BMW_5_Series.jpg
2020,20590,Manual,3214,Petrol,145.0,50.4,1.0,Ford,Hatchback,0,7117, Puma,/static/car_images/Ford_Puma.jpg
2018,26000,Automatic,7500,Petrol,145.0,50.4,2.0,Audi,Other,0,31691, A5,/static/car_images/Audi_A5.jpg
2015,9250,Manual,54700,Diesel,0.0,74.3,1.5,Ford,Hatchback,0,8169, Focus,/static/car_images/Ford_Focus.jpg
2017,17695,Automatic,12000,Hybrid,0.0,70.6,1.8,Toyota,Other,0,65890, Auris,/static/car_images/Toyota_Auris.jpg
